City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nikolskoye,59.7,30.79,57.2,87,40,2.24,RU,1596145530
Arraial do Cabo,-22.97,-42.03,66.2,93,75,10.29,BR,1596145773
Aklavik,68.22,-135.01,73.4,49,75,5.82,CA,1596145784
Bengkulu,-3.8,102.27,75.02,91,81,8.19,ID,1596145807
Mount Gambier,-37.83,140.77,41.0,93,57,9.17,AU,1596145774
Alofi,-19.06,-169.92,73.4,64,36,19.46,NU,1596145560
Hamilton,39.18,-84.53,70.0,88,90,4.7,US,1596145802
Cape Town,-33.93,18.42,51.8,93,0,3.36,ZA,1596145765
Lae,-6.72,146.98,75.2,83,90,5.82,PG,1596146323
Batagay,67.63,134.63,51.49,64,0,4.5,RU,1596146291
Barrow,71.29,-156.79,37.4,93,90,5.82,US,1596145763
Kiama,-34.68,150.87,51.01,71,21,4.0,AU,1596146324
Kwinana,-32.25,115.77,55.99,100,40,7.07,AU,1596146324
Yei,4.09,30.68,65.57,93,26,1.77,SS,1596146324
Luga,58.74,29.85,55.62,93,85,7.49,RU,1596146325
Boa Vista,2.82,-60.67,91.4,43,20,9.17,BR,1596146178
Morros,-9.45,-46.3,79.27,36,1,5.75,BR,1596145795
Lebu,-37.62,-73.65,50.74,89,98,12.77,CL,1596145772
Punta Arenas,-53.15,-70.92,37.4,86,40,12.75,CL,1596145767
Kaniama,-7.57,24.18,67.93,36,0,4.36,CD,1596146326
Kaitangata,-46.28,169.85,48.99,76,99,4.0,NZ,1596145788
Port Hardy,50.7,-127.42,69.8,56,5,3.36,CA,1596145792
Kuito,-12.38,16.93,54.34,40,0,4.36,AO,1596146326
Corinth,37.94,22.96,81.0,35,0,1.99,GR,1596146327
Orlik,52.52,99.83,48.88,81,0,2.17,RU,1596146327
Rocha,-34.48,-54.33,42.49,85,0,7.61,UY,1596145706
Pontianak,-0.03,109.33,72.93,93,100,4.94,ID,1596146325
Hambantota,6.12,81.12,77.0,100,75,8.05,LK,1596145819
Mezen',65.85,44.24,52.27,66,72,10.16,RU,1596146328
Bathsheba,13.22,-59.52,84.2,74,40,18.34,BB,1596145854
Marawi,8.0,124.29,73.99,95,72,5.99,PH,1596146328
San Francisco,37.77,-122.42,72.0,63,20,17.22,US,1596146328
Chokurdakh,70.63,147.92,45.81,80,86,9.13,RU,1596145795
Santa,17.49,120.43,78.31,84,100,2.77,PH,1596146329
Portland,45.52,-122.68,93.99,35,1,11.41,US,1596145656
Salalah,17.02,54.09,82.4,94,75,3.36,OM,1596145816
Novokorsunskaya,45.64,39.15,72.0,78,5,2.24,RU,1596146329
Saint-Pierre,-21.34,55.48,69.01,77,75,3.36,RE,1596146330
Urubichá,-15.38,-62.95,67.24,40,57,1.01,BO,1596146330
Karpathos,35.51,27.21,75.2,88,0,23.04,GR,1596146330
Sobolevo,54.43,31.9,52.12,89,20,7.74,RU,1596145616
Santa Cruz de Tenerife,28.47,-16.25,66.0,88,20,17.22,ES,1596146273
Stann Creek Town,16.97,-88.23,86.0,84,40,5.82,BZ,1596146331
Provideniya,64.38,-173.3,50.0,76,90,15.66,RU,1596145768
Gunnedah,-30.98,150.25,41.0,100,0,3.36,AU,1596146080
Mayumba,-3.43,10.66,71.47,83,60,4.76,GA,1596145796
São João da Barra,-21.64,-41.05,68.0,94,75,11.41,BR,1596145812
Lázaro Cárdenas,17.96,-102.2,86.81,66,75,5.73,MX,1596146332
Clyde River,70.47,-68.59,37.4,100,90,20.8,CA,1596145788
Saskylakh,71.92,114.08,57.09,66,0,1.99,RU,1596145791
Alyangula,-13.85,136.42,51.8,93,0,13.42,AU,1596146174
Castro,-24.79,-50.01,48.07,90,58,9.4,BR,1596145771
Necochea,-38.55,-58.74,46.0,77,100,11.01,AR,1596145847
Bambous Virieux,-20.34,57.76,69.8,88,75,4.7,MU,1596145769
Mayor Pablo Lagerenza,-19.93,-60.77,66.29,43,2,3.2,PY,1596146333
Tiksi,71.69,128.87,41.88,89,94,4.27,RU,1596145638
Zhigansk,66.77,123.37,52.23,70,0,14.94,RU,1596145561
Teya,60.38,92.63,56.93,91,99,3.02,RU,1596146334
Luganville,-15.53,167.17,75.2,100,75,1.12,VU,1596146334
Ponta Delgada,37.73,-25.67,71.6,78,20,6.93,PT,1596145799
Margate,51.38,1.39,68.0,67,3,1.01,GB,1596145524
Ostrovnoy,68.05,39.51,50.45,84,47,14.5,RU,1596145811
Galesong,-5.32,119.37,73.4,88,20,2.24,ID,1596146335
Mama,58.31,112.9,61.65,83,97,2.57,RU,1596146335
Searcy,35.25,-91.74,93.0,69,26,1.99,US,1596146336
Saryg-Sep,51.5,95.6,57.33,94,100,0.74,RU,1596146336
Fort Nelson,58.81,-122.7,77.0,41,20,5.82,CA,1596146336
Leningradskiy,69.38,178.42,41.58,81,100,16.02,RU,1596145830
Borogontsy,62.67,131.17,60.66,49,0,5.73,RU,1596146336
Kembé,4.62,21.89,69.57,93,14,2.21,CF,1596146337
Maniwaki,46.38,-75.97,73.74,60,22,7.31,CA,1596146337
Pisco,-13.7,-76.22,64.4,72,6,9.17,PE,1596146074
Sujiatun,41.66,123.34,75.2,88,99,6.71,CN,1596146337
Ossora,59.24,163.07,56.66,71,12,6.15,RU,1596146338
Shintomi,32.08,131.47,80.6,78,20,6.93,JP,1596146338
Kinablangan,7.69,126.55,78.3,81,100,6.33,PH,1596146338
Quatre Cocos,-20.21,57.76,69.8,88,75,4.7,MU,1596145809
Kralendijk,12.15,-68.27,87.8,62,0,14.99,BQ,1596146303
Oktyabr'skoye,43.06,44.74,60.8,82,0,4.47,RU,1596146339
Deputatsky,69.3,139.9,46.29,71,6,3.36,RU,1596146225
Bethel,41.37,-73.41,80.6,78,1,6.93,US,1596145793
Dzaoudzi,-12.79,45.27,77.0,83,0,14.99,YT,1596146339
Zarubino,42.63,131.09,67.3,95,84,2.8,RU,1596146339
Tateyama,34.98,139.87,75.0,94,6,0.92,JP,1596146340
Filingué,14.35,3.32,93.92,37,0,7.27,NE,1596146340
Hirara,24.8,125.28,82.4,88,75,6.93,JP,1596146340
Hasaki,35.73,140.83,72.0,94,75,2.24,JP,1596145593
Casas Grandes,30.37,-107.95,97.0,22,48,10.0,MX,1596146341
Monzón,41.91,0.19,82.4,37,86,6.93,ES,1596146341
Torbay,47.67,-52.73,61.0,100,90,5.82,CA,1596145763
Gua Musang,4.88,101.96,74.16,90,100,1.1,MY,1596146341
Ust-Maya,60.42,134.53,59.45,54,76,2.01,RU,1596146342
Port Hedland,-20.32,118.57,53.6,34,1,8.05,AU,1596145830
Port Augusta,-32.5,137.77,41.0,100,40,5.82,AU,1596146183
Vallejo,38.1,-122.26,88.0,56,1,10.29,US,1596146342
Mahon,39.89,4.27,78.8,83,0,3.36,ES,1596145598
Kiruna,67.86,20.23,53.6,76,16,4.7,SE,1596146343
Tocopilla,-22.09,-70.2,63.19,52,26,7.29,CL,1596146343
Alta Floresta,-9.88,-56.09,82.49,27,0,2.51,BR,1596146343
Yakeshi,49.28,120.73,64.71,89,64,4.0,CN,1596146343
Abadan,38.05,58.21,78.8,47,75,18.34,TM,1596146344
Beringovskiy,63.05,179.32,50.05,90,99,13.42,RU,1596146094
San Quintín,30.48,-115.95,75.76,64,7,13.62,MX,1596146344
Devils Lake,48.11,-98.87,82.4,51,1,4.7,US,1596146344
Kitakata,37.65,139.87,70.0,93,100,2.33,JP,1596146344
Adrar,20.5,-10.07,94.17,31,21,7.18,MR,1596146345
Morón,-34.65,-58.62,55.4,43,12,8.05,AR,1596146345
Bredasdorp,-34.53,20.04,50.0,93,0,3.36,ZA,1596145771
Kashgar,39.45,75.98,75.36,24,10,7.7,CN,1596146145
Talnakh,69.49,88.4,60.8,67,87,11.18,RU,1596145829
Rio Grande,-32.03,-52.1,52.0,86,0,1.99,BR,1596146285
Ürümqi,43.8,87.6,68.0,52,0,8.95,CN,1596146346
Dunedin,-45.87,170.5,55.99,52,100,1.99,NZ,1596145876
Shingū,33.73,135.98,77.02,86,0,2.33,JP,1596145613
Tahe,52.33,124.73,67.95,76,95,2.86,CN,1596146346
Spasskoye,44.61,132.8,68.81,88,58,7.05,RU,1596146347
Vostok,46.49,135.88,68.65,89,6,0.56,RU,1596146347
Yar-Sale,66.83,70.83,49.03,85,0,5.61,RU,1596145775
Kilindoni,-7.91,39.67,76.64,82,65,18.75,TZ,1596146347
Samarai,-10.62,150.67,75.15,72,83,16.69,PG,1596145817
Lagoa,39.05,-27.98,70.32,75,63,12.17,PT,1596145823
Avera,33.19,-82.53,86.0,94,90,3.36,US,1596146348
Cochrane,51.18,-114.47,80.01,64,20,5.82,CA,1596146348
La Ronge,55.1,-105.28,77.0,61,75,12.75,CA,1596145773
Salvacion,7.98,126.13,74.08,93,100,1.83,PH,1596146349
George Town,5.41,100.34,78.8,94,40,4.7,MY,1596145711
Cherskiy,68.75,161.3,47.86,70,95,10.6,RU,1596145849
Saýat,38.78,63.88,82.4,37,87,13.87,TM,1596146349
Ancud,-41.87,-73.82,46.99,93,90,5.82,CL,1596145790
Tilichiki,60.47,166.1,50.99,97,100,4.97,RU,1596146350
Kharp,66.8,65.81,48.69,81,33,4.56,RU,1596146350
Galle,6.04,80.22,79.2,87,98,12.19,LK,1596146350
Cockburn Town,21.46,-71.14,79.12,82,100,50.6,TC,1596146350
Ensenada,31.87,-116.62,87.3,39,11,10.4,MX,1596146351
Narasannapeta,18.42,84.05,81.5,83,89,2.75,IN,1596146351
Kathmandu,27.72,85.32,71.6,94,75,3.36,NP,1596146351
Doha,25.29,51.53,96.01,75,4,3.36,QA,1596146319
Carahue,-38.7,-73.17,50.0,87,90,11.41,CL,1596146351
Acapulco de Juárez,16.86,-99.89,87.8,70,40,9.17,MX,1596145531
Khovd,48.01,91.64,55.17,52,77,5.97,MN,1596145842
Kavieng,-2.57,150.8,83.73,74,100,8.37,PG,1596145863
Port-Gentil,-0.72,8.78,75.2,83,20,15.37,GA,1596145531
Chai Badan,15.2,101.13,82.0,79,89,4.0,TH,1596146352
Kulhudhuffushi,6.62,73.07,81.9,77,19,17.87,MV,1596145815
Muhos,64.81,25.99,59.0,87,55,5.82,FI,1596146353
Costa Rica,-23.42,-54.65,64.42,78,34,5.91,BR,1596146103
Faanui,-16.48,-151.75,79.25,80,52,13.35,PF,1596145782
Praia,14.92,-23.51,78.8,74,40,12.75,CV,1596146353
Archidona,37.1,-4.39,79.0,89,0,5.57,ES,1596146354
Taber,49.82,-112.15,80.6,61,40,8.05,CA,1596146354
Te Anau,-45.42,167.72,47.53,87,84,1.32,NZ,1596145840
Hithadhoo,-0.6,73.08,82.87,76,95,7.78,MV,1596145767
Mount Isa,-20.73,139.5,59.0,30,0,6.93,AU,1596145878
Marmora,44.46,7.09,81.0,94,0,5.82,IT,1596146355
Bilibino,68.05,166.44,51.42,57,70,4.36,RU,1596146191
Goroka,-6.08,145.39,62.91,85,49,2.21,PG,1596146355
Ewo,-0.87,14.82,80.01,63,66,5.35,CG,1596146356
Beisfjord,68.38,17.6,62.6,77,22,4.7,NO,1596146356
Alexandria,31.22,29.96,80.6,74,0,10.29,EG,1596146356
Pierre,44.37,-100.35,88.0,42,1,5.82,US,1596146102
Saint Anthony,45.02,-93.22,82.4,39,75,6.93,US,1596145853
Ribeira Grande,38.52,-28.7,71.06,78,77,14.54,PT,1596145542
Prado,-17.34,-39.22,70.61,82,1,7.63,BR,1596146357
Muros,42.78,-9.06,64.4,88,20,4.7,ES,1596145832
Okha,53.57,142.95,58.3,83,66,9.46,RU,1596146357
Mitú,1.2,-70.17,84.54,60,0,4.09,CO,1596146244
Birjand,32.87,59.22,73.4,20,0,4.7,IR,1596146358
Sept-Îles,50.2,-66.38,62.6,93,90,11.41,CA,1596145818
Iqaluit,63.75,-68.51,55.4,71,90,5.82,CA,1596145791
Wajima,37.4,136.9,75.69,91,65,14.05,JP,1596146358
Baruun-Urt,46.68,113.28,60.37,78,0,4.45,MN,1596146358
Invermere,50.52,-116.04,89.01,25,90,1.83,CA,1596146359
Port Blair,11.67,92.75,80.71,81,97,14.47,IN,1596146359
Port Lincoln,-34.73,135.87,51.39,70,49,10.6,AU,1596145887
Bǝrdǝ,40.37,47.13,72.55,62,51,6.85,AZ,1596146359
Sorong,-0.88,131.25,77.77,87,38,9.46,ID,1596145836
Sangar,63.92,127.47,60.98,51,0,2.62,RU,1596146360
Yankton,42.87,-97.4,80.6,44,20,12.75,US,1596146360
Boden,65.83,21.69,57.2,93,20,4.7,SE,1596146361
Oussouye,12.48,-16.55,80.6,88,40,11.41,SN,1596146361
Kodinsk,58.69,99.18,56.86,82,28,1.68,RU,1596145880
La Santisima Trinidad,-14.83,-64.9,77.0,44,4,4.7,BO,1596146362
Mar del Plata,-38.0,-57.56,51.01,61,100,8.05,AR,1596145778
Petropavlovsk-Kamchatskiy,53.05,158.65,59.0,100,90,4.47,RU,1596146362
Oktyabr'skiy,54.48,53.47,62.38,83,98,5.73,RU,1596146362
Tupanciretã,-29.08,-53.84,49.55,93,5,8.16,BR,1596146363
Coquimbo,-29.95,-71.34,59.0,72,16,12.75,CL,1596146363
Chumikan,54.72,135.31,53.73,97,100,16.78,RU,1596145764
Kasongo,-4.45,26.67,76.89,32,11,2.75,CD,1596146364
Kibre Mengist,5.88,38.98,57.36,87,49,2.35,ET,1596146364
Nadvoitsy,63.87,34.32,53.62,89,100,13.91,RU,1596146364
Ambon City,-3.7,128.18,79.0,14,94,17.09,ID,1596146365
Muscat,23.61,58.59,91.4,79,9,3.36,OM,1596146365
Cabedelo,-6.98,-34.83,75.2,78,0,8.05,BR,1596145877
Jinji,23.23,110.83,77.85,83,44,2.75,CN,1596146366
Fukuechō,32.69,128.84,81.07,83,87,3.06,JP,1596146366
Moses Lake,47.13,-119.28,105.8,12,1,9.17,US,1596146366
Sheltozero,61.37,35.37,56.48,82,0,11.59,RU,1596146366
Dutlwe,-23.98,23.9,50.72,42,0,6.33,BW,1596146247
Araouane,18.9,-3.53,100.26,26,0,8.34,ML,1596146367
Yulara,-25.24,130.99,39.2,35,0,5.82,AU,1596145834
Itarema,-2.92,-39.92,78.55,75,59,14.09,BR,1596146367
San Patricio,19.22,-104.7,89.6,75,40,11.41,MX,1596145838
Okhotsk,59.38,143.3,59.58,64,0,6.64,RU,1596146368
Mazagão,-0.12,-51.29,86.0,74,40,2.24,BR,1596146368
La Asuncion,11.03,-63.86,87.8,70,23,8.05,VE,1596145858
Laminusa,5.55,120.91,82.74,80,100,10.85,PH,1596146369
Airai,-8.93,125.41,52.56,70,9,3.67,TL,1596145781
Longyearbyen,78.22,15.64,50.0,81,20,5.82,SJ,1596145774
Tiznit Province,29.58,-9.5,83.26,38,87,0.65,MA,1596146369
Kolokani,13.57,-8.03,78.19,78,8,6.64,ML,1596146370
Gravdal,68.12,13.5,62.6,72,100,4.7,NO,1596146152
Mto wa Mbu,-3.35,35.85,66.04,70,3,2.48,TZ,1596146370
Yanam,16.73,82.22,80.49,84,83,1.95,IN,1596146137
Kenai,60.55,-151.26,69.8,52,20,4.7,US,1596145833
Garden City,42.33,-83.33,82.4,48,90,6.91,US,1596146371
Johi,26.69,67.61,94.48,51,49,9.51,PK,1596146371
Vaitape,-16.52,-151.75,80.11,78,50,13.42,PF,1596146372
Barnstaple,51.08,-4.06,64.0,72,64,8.99,GB,1596146372
Phan Thiet,10.93,108.1,78.03,87,100,6.31,VN,1596145558
Tsimmerbude,54.67,20.13,59.0,93,75,11.18,RU,1596145874
Río Gallegos,-51.62,-69.22,35.6,80,64,8.05,AR,1596145851
Kidal,18.44,1.41,98.2,18,45,7.47,ML,1596146373
Kiyasovo,56.35,53.12,64.99,85,68,7.87,RU,1596146373
Belyy Yar,53.6,91.39,59.0,87,100,4.47,RU,1596146374
Boqueirão,-7.5,-36.13,69.06,72,3,11.23,BR,1596146374
Asău,46.43,26.4,70.0,79,0,3.53,RO,1596145567
Vila Velha,-20.33,-40.29,73.4,83,40,9.17,BR,1596146163
Lao Cai,22.48,103.95,76.33,83,36,0.38,VN,1596146301
Sitka,57.05,-135.33,73.4,46,1,8.05,US,1596146227
Östersund,63.18,14.64,57.2,93,100,6.93,SE,1596146375
Sisimiut,66.94,-53.67,48.0,70,0,4.83,GL,1596146199
Binzhou,37.37,118.02,78.94,77,11,5.3,CN,1596146376
George Town,5.41,100.34,78.8,94,40,4.7,MY,1596146160
Biržai,56.2,24.75,53.85,94,72,11.99,LT,1596146376
Tupik,54.43,119.93,62.87,93,96,3.71,RU,1596146377
Pangnirtung,66.15,-65.71,53.6,93,90,2.24,CA,1596145856
Paamiut,61.99,-49.67,47.57,91,77,5.53,GL,1596145882
Road Town,18.42,-64.62,86.0,79,40,17.22,VG,1596146103
Hong Kong,22.29,114.16,84.2,70,40,16.11,HK,1596146124
Taoudenni,22.68,-3.98,92.5,36,95,18.75,ML,1596146378
Bonga,7.28,36.23,58.71,90,98,1.05,ET,1596146378
Saint George,37.1,-113.58,109.0,7,1,4.7,US,1596145812
Pinsk,52.12,26.1,55.08,79,49,5.59,BY,1596146378
Bubaque,11.28,-15.83,80.4,82,100,17.22,GW,1596145589
Cabadiangan,9.75,122.47,78.12,85,100,6.62,PH,1596146379
Coruripe,-10.13,-36.18,72.77,81,0,10.36,BR,1596146167
Gifhorn,52.48,10.55,61.0,78,75,2.64,DE,1596146379
Padang,-0.95,100.35,71.6,94,20,1.12,ID,1596145787
Subate,56.01,25.91,54.73,90,72,10.96,LV,1596146380
Turbat,26.0,63.04,85.15,71,22,3.71,PK,1596146380
Hokitika,-42.72,170.97,52.29,71,100,6.04,NZ,1596146254
Riyadh,24.69,46.72,98.6,16,26,5.82,SA,1596145698
Nchelenge,-9.35,28.73,68.29,52,22,8.14,ZM,1596145846
Viiratsi,58.36,25.64,57.2,93,40,9.17,EE,1596146382
Dingle,11.0,122.67,76.89,88,100,5.7,PH,1596146382
Ashoknagar,24.57,77.72,80.8,76,99,5.91,IN,1596146383
Alice Springs,-23.7,133.88,32.0,62,0,4.7,AU,1596146383
Poum,-20.23,164.02,75.16,84,9,10.54,NC,1596145829
Suzhou,31.31,120.62,88.0,92,100,3.0,CN,1596146181
Laas,46.62,10.7,66.2,93,90,5.82,IT,1596146384
Lukovetskiy,64.3,41.92,59.0,62,40,13.42,RU,1596146384
Husavik,66.04,-17.34,51.8,81,45,11.41,IS,1596145543
Vardø,70.37,31.11,51.8,93,75,10.29,NO,1596145546
Kieta,-6.22,155.63,82.22,72,94,2.19,PG,1596146127
Strelka,58.07,93.03,57.29,95,100,6.62,RU,1596146385
Verkhnevilyuysk,63.45,120.32,56.14,74,0,4.16,RU,1596146385
Campoverde,-8.48,-74.81,77.0,78,75,13.87,PE,1596146386
Bud,39.45,-86.18,71.01,88,90,12.75,US,1596146386
Damietta,31.42,31.81,80.6,83,0,9.17,EG,1596146386
Sal Rei,16.18,-22.92,78.8,74,75,12.75,CV,1596146387
Kharitonovo,61.4,47.5,58.08,94,94,9.4,RU,1596146387
Pacific Grove,36.62,-121.92,73.0,64,20,9.17,US,1596145852
Byron Bay,-28.65,153.62,57.2,67,57,12.75,AU,1596146387
Rafrāf,37.19,10.18,86.0,28,0,10.29,TN,1596146261
Haines Junction,60.75,-137.51,75.4,37,0,8.81,CA,1596145814
Oodweyne,9.41,45.06,78.13,47,61,18.9,SO,1596146388
Makassar,-5.14,119.42,73.4,88,20,2.24,ID,1596146388
Hofn,64.25,-15.21,53.31,85,89,10.07,IS,1596145802
Coahuayana Viejo,18.73,-103.68,78.8,83,75,17.22,MX,1596145817
Lovozero,68.0,35.01,50.43,74,90,9.42,RU,1596146389
Tomatlán,19.93,-105.25,91.02,54,100,9.33,MX,1596146389
Lubango,-14.92,13.49,55.72,37,0,3.76,AO,1596145873
